Accessori,complemento;ornamento;decorazione,accessory;clothing accessory
accessori OEM,?,?
acqua,massa d'acqua;sostanza;H20;liquido,water;H20
aerospazio,industria aerospaziale;aereo;aeroplano;ingegneria aerospaziale,airspace;airplane industry;plane;airplane;aircraft;aerospace engineering
Agenti,rappresentante;venditore,agent;representative;trader
agricoltura,agronomia;coltivazione,agriculture;farming;horticulture
alimentare,generi alimentari;cibarie;alimenti;cibo,alimentary;dietary;food
alimenti,cibo;vivande,food;edibles;rations;provisions
allestimento,installazione,staging;set-up
ambiente,ecosistema;habitat,environment
Ambiente,habitat;ecosistema;territorio,environment;habitat;ecosystem;territory;area;local
apparecchiature elettroniche,elettronica,electronics;electronic devices
Applicazioni aziendali e CRM,,
Applicazioni mediche e bio-meccatronica,ingegneria medica;bio-meccanica,Medical and bio-mechatronic applications;bio-mechanics;medical engineering
Applicazioni nel settore aerospaziale,Ingegneria aerospaziale;spazio,"Applications in the aerospacial sector;aerospacial engineering;space,"
Applicazioni nel trasporto e automotive,ingegneria meccanica;ingegneria dei trasporti;trasporti;automotivo;logistica,Transportation and automotive applications;automotive engineering;logistics
arredamento,arredo;mobili;design degli interni,furnishings;Interior furniture;furniture
arte,creatività;patrimonio artistico;beni culturali,art
assistenza,aiuto;soccorso;sostegno;cura;intervento,medical assistance;medical attention;state services;support services
Attività artistiche,pittura;scultura;arti figurative;arte;creatività,painting;sculpture;artistic activity;art
Attività commerciali,esercizio di vendita;esercizio commerciale;negozio;attività,business;commercial activity;shop
Attività finanziarie e assicurative,finanza;assicurazioni;borsa;attività bancarie,financial and insurance activity;trading and insurance field;trading;finance;banking
automazione industriale,automazione;meccanizzazione,automation;mechanization
Automazione industriale,automazione dell'industria,Industrial automation
automazione industriale,,
automotive,automobilistico;industria dell'auto;industria automobilistica;auto,automotive industry;automotive
big data,,
bioinformatica,biologia informatica,information science
Bioinformatica;genomica e IT per la ricerca,Studio IT;Analisi IT;genoma;genetica;ricerca,Study of genomes;IT-based study;IT-based search
Biomassa,,
Bonifica ambientale,bonifica;prosciugamento;risanamento;rimessa a coltura;terreno bonificato;colmata;appoderamento,environmental remediation;reclamation;drainage;remediation;cultivation;reclaimed land;reclaimed;landed;rebirth;improvement;recovery;restructuring;restoration;cleaning;cleaned up
City management e big data,gestione cittadina;gestione civica;amministrazione civica,city administration
Combustibili fossili,,
community,comunità,social group;network
comparatori di servizi,confronto tariffe;contronto prezzi;comparatore tariffe;comparatore prezzi;comparatore offerte;comparatore servizi;confronto servizi,service comparison;price comparison
componenti,elemento;fattore,component;element
Componenti elettronici e Microcontroller,,Electronic components and Microcontrollers
creatività,estro;fantasia,eccentricity;creativity
cultura,scienza;istruzione,culture
database,,
design,disegno tecnico,graphic arts;design
Device terapeutici;chirurgici e per la riabilitazione,Dispositivo curativo;Dispositivo chirurgico;Dispositivo fisioterapico;dispositivo medico;tutore,therapeutic machine;rehabilitation machine;surgical machine;medical surgical device
diagnosi,valutazione;analisi,evaluation;analysis
diagnostica,identificazione;diagnosi,diagnostics
Diagnostica e imaging,Tecniche diagnostiche;esame medico;esame clinico;diagnosi,scanning;magnetic resonance imaging;diagnostics;diagnosis
dieta,nutrizione;regime alimentare,diet;dietary requirements;nutrition
Disegno,disegno tecnico;grafica,design;graphic arts;illustration
distribuzione,,
distribuzione,logistica,distribution;logistics
distribuzione dati,informazione;dati,information;data
distribuzione digitale,?,digital distribution
distribuzione tradizionale,?,traditional distribution
Drug delivery,consegna farmaceutica;consegna medicale,drug distribution
Drug discovery,scoperta farmaceutica;scoperta medicale,medicine discovery;chemical substance discovery
E-commerce,vendite online;e-shop;e-commerce;negozio digitale;shopping online,e-shop;e-commerce;online shopping
E-commerce,,
ecotecnologie urbane,,urban ecotechnologies
Edilizia,tecnica della costruzione;costruzioni;fabbricati;abitazioni;immobili;mercato immobiliare;architettura;cantiere,Building;construction technique;buildings;dwellings
Edilizia e costruzioni,fabbricati;abitazioni;realizzazioni;edificazioni;palazzi;stabili;opere architettoniche,Building and construction;buildings;dwellings;architectural works
Efficientamento,efficienza;risparmio energetico;efficienza energetica,efficiency 
elettrodomestici,casalinghi;apparecchi domestici,appliance;electrical appliance;home devices
elettronica,fisica elettronica;sistemi elettronici,electronics;electron physics;electron dynamics
Elettronica di consumo,elettronica,electronics;electronic devices
Energia,Energia elettrica,Energy
Energia elettrica,efficienza elettrica;corrente;elettrologia;tensione,electricity;electrical grid
Energia elettrica e smart grid,efficienza elettrica;corrente;elettrologia;tensione,electricity;electrical grid 
Energia nucleare,,
entertainment,intrattenimento,amusement
Eolica,Energia eolica,Wind power
eventi,congresso;fiera;conferenza,event;conference
farmaceutica,medicale;medico;sanitario,medicine;preparation;pharmaceutical
ferroviario,treno;servizio ferroviario;rotaie;ferrovia,railroad;train;railway;rails;rail system
fiere,esposizione;mostra,exhibition
film,cinema;industria cinematografica;produzione televisiva;video making;serie,movie;motion picture;movie theater;series
Fintech,,
Fuel cells,,
gas,miscela gassosa;combustibile,fuel
geotermia,,
Gestione database e Big Data,,
Gestione reti e sistemi di comunicazione,,
gioielleria,gioielli;oreficeria,jewellery;jewelry
grafica,,
Grafica;Multimedia;Istruzione e Publishing,,
Idroelettrica,,
Immagazzinamento,database;stoccaggio;memoria;archiviazione,data storage;database;information storage;warehouse;data warehouse
industria,impresa;business;fabbrica;azienda;attività produttiva;stabillimento,"industry,business;enterprise"
infrastrutture,servizi;impianti;reti,infrastructures;facilities
Infrastrutture e opere pubbliche,struttura ausiliaria;costruzione pubblica;realizzazione pubblica,infrastructure;construction project;construction work
Infrastrutture e opere pubbliche,attrezzature;impianti;installazioni;servizi pubblici;prestazioni;iniziative;imprese;realizzazioni;fondazioni,Infrastructures and public works;equipment;facilities;installations;public services;services;work activities;initiatives;foundations
Infrastrutture e servizi di laboratorio e ospedalieri,Impianto ospedaliero;Attrezzatura ospedaliera;ausiliario ospedaliero;ospedale;clinica;casa di riposo,chemical analytical laboratory;chemical analytical lab;hospital lab
Internet of Things,internet delle cose;IOT,Internet of Things;IOT
interni,arredamento d'interni;arredamento,Interior decoration;Interior design
IT,information technology,information technology
laboratorio,studio;studio medico,lab;hospital laboratory
Logistica,coordinamento;stivaggio;magazzino,logistics;stock
Logistica e distribuzione tradizionale,Distribuzione,Logistics and traditional distribution
manutenzione,conservazione;mantenimento;riparazione,maintenance
meccanica,dinamica;cinematica;logistica,mechanics;kinetics;physics;logistics
Media,televisione;radio;giornali;tv;mass media;stampa;comunicazione;opinione pubblica;giornalismo,papers;news;newspapers;communication;public opinion
medicina,farmaco;cura;rimedio;balsamo,medicine;medical science;drug;medication;remedy;cure
messaggistica,messaggi;comunicazione online;chat,messages;chat;communication
mobilità,spostamento;trasporto;mezzi pubblici;sharing;auto condivise;trasporti pubblici,mobility;transferability;car sharing;public transportation
moda,tendenza;stile;grandi marchi;abbigliamento,fashion;style
Modellistica;simulazione e pianificazione,,Modeling;simulation and planning
Monitoraggio,,
Monitoraggio e riduzione dei consumi,,
Motori,macchina motrice;motrice,engine;motor
Musica,canzone;colonna sonora;composizione,music
Nanotecnologie,,Nanotechnology
nautica,marineria;porto;navigazione;nave;barca;yatch,navigation;boating;sailing
navigazione,navigatore;gps;satellitare;geolocalizzazione,GPS navigation device;GPS;geolocalization
noleggio,affitto;sharing,rent;rental;leasing;sharing
Noleggio,affitto;sharing,rent;rental;leasing;sharing
Non-automotive,?,?
nuovi materiali,,new materials
Nutraceutica,,nutraceutical
Nutraceutica e alimentazione,alimento funzionale;Nutrizione;alimentazione;cibo;nutrienti;integratori,Added nutrients food;Nutrition
nutrizione,dieta;mangiare;nutrirsi,nutrition;diet;eating;nourishment
opere pubbliche,opere pubbliche;prestazioni;attività lavorative;iniziative;imprese,public works;services;work activities;initiatives;companies
